1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
67,CI3400 - INGLES 1  (ATI),1,,,,,,,,,
67,MA2404 - PROBABILIDADES,,1,,,,,,,,
67,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
67,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
67,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
68,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
68,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
68,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
68,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
68,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
68,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
69,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
70,TI5000 - ELECTIVA 1,1,,,,,,,,,
70,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
70,TI7802 - MODELO DE TOMA DE DECISIONES,1,,,,,,,,,
70,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
70,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
70,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
71,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
72,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,,1,,,,,,
72,TI3404 - LENGUAJES DE PROGRAMACION,,,,,1,,,,,
73,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
